arrival_date_year,adults,children,is_repeated_guest,total_of_special_requests,adr,hotel,lead_time,is_canceled,previous_cancellations,booking_changes,required_car_parking_spaces
2016,2,0.0,0,1,70.17,1,12,0,0,0,0
2015,2,0.0,0,0,70.0,0,3,1,0,0,0
2016,1,0.0,0,0,120.0,0,56,0,0,0,0
2016,2,0.0,0,1,79.0,1,3,0,0,0,0
2017,2,0.0,0,1,114.67,0,81,0,0,0,0
2017,2,0.0,0,0,80.0,1,17,1,0,0,0
2017,2,1.0,0,2,146.5,0,3,0,0,0,1
2016,1,0.0,0,0,85.0,0,15,1,0,0,0
2017,2,1.0,0,0,223.0,1,17,1,0,1,0
2017,2,2.0,0,2,181.5,0,201,0,0,2,1
2017,2,1.0,0,0,102.1,0,255,1,0,0,0
2015,2,0.0,0,2,106.0,0,1,0,0,0,1
2017,2,0.0,0,0,60.0,1,22,0,0,0,0
2017,2,0.0,0,1,54.0,1,33,0,0,0,0
2016,2,1.0,0,1,102.08,0,203,0,0,0,0
2017,2,0.0,0,1,177.75,1,43,0,0,2,0
2016,2,0.0,0,0,37.56,1,354,0,0,0,0
2016,2,1.0,0,0,119.0,0,0,0,0,0,0
2016,2,0.0,0,1,87.05,0,10,0,0,0,0
2015,2,0.0,0,2,79.2,0,55,1,0,0,0
2016,1,0.0,0,1,54.98,0,57,0,0,0,0
2016,1,0.0,1,0,0.0,1,0,0,0,0,0
2017,3,0.0,0,1,200.0,0,54,0,0,0,0
2017,2,0.0,0,0,48.0,1,152,0,0,1,0
2016,2,2.0,0,3,231.0,0,13,0,0,0,0
2016,1,0.0,0,0,55.33,0,335,0,0,0,0
2016,1,0.0,0,2,168.0,0,3,0,0,0,0
2016,1,0.0,1,0,67.0,1,0,0,0,0,0
2015,1,0.0,0,0,170.0,0,16,0,0,0,0
2017,2,0.0,0,1,46.8,1,161,1,0,0,0
2015,1,0.0,0,0,116.8,1,28,1,0,0,0
2016,1,0.0,0,0,70.0,1,0,0,0,0,0
2016,2,0.0,0,2,134.0,1,19,0,0,0,1
2016,2,0.0,0,1,134.31,0,74,0,0,0,0
2017,2,0.0,0,2,186.74,1,253,1,0,0,0
2017,2,1.0,0,2,116.1,0,341,1,0,0,0
2016,2,0.0,0,0,90.5,0,34,0,0,0,1
2016,2,0.0,0,0,89.0,0,259,1,0,0,0
2016,2,0.0,0,0,85.5,0,86,0,0,1,0
2016,3,0.0,0,1,150.0,0,27,0,0,0,0
2016,2,0.0,0,1,88.0,0,4,0,0,0,0
2017,3,1.0,0,0,176.4,1,94,1,0,0,0
2017,2,0.0,0,1,97.6,1,5,0,0,0,0
2016,2,0.0,0,1,126.0,0,26,0,0,0,0
2016,2,0.0,0,0,68.0,1,12,0,0,0,0
2017,2,0.0,0,0,99.0,0,92,0,0,0,0
2016,2,0.0,0,0,0.0,0,22,0,0,0,0
2017,2,0.0,0,0,125.0,0,91,0,0,0,0
2015,2,0.0,0,0,41.29,1,286,0,0,2,0
2017,1,0.0,1,1,65.0,0,25,0,1,0,0
2016,2,0.0,0,0,120.6,0,60,1,0,0,0
2016,2,1.0,0,0,121.5,1,3,0,0,0,0
2016,1,0.0,0,0,71.0,0,161,0,0,1,0
2016,2,2.0,0,0,202.0,0,1,0,0,0,0
2017,2,0.0,0,0,153.0,0,96,0,0,0,0
2017,2,0.0,0,1,189.0,1,2,0,0,0,0
2017,2,0.0,0,1,140.0,1,133,1,0,0,0
2015,2,0.0,0,1,47.0,1,51,0,0,0,0
2016,1,0.0,0,0,69.0,0,18,1,0,0,0
2016,2,0.0,0,2,82.8,0,66,0,0,0,0
2017,2,2.0,0,0,230.0,0,97,1,0,0,0
2015,2,0.0,0,0,49.5,1,24,0,0,1,1
2017,2,0.0,1,1,84.8,1,321,0,0,0,0
2017,2,1.0,0,0,112.0,1,43,0,0,1,0
2016,2,0.0,0,0,137.7,0,67,1,0,0,0
2017,2,0.0,0,0,82.02,1,16,0,0,0,1
2017,2,0.0,0,0,87.0,1,13,0,0,1,1
2016,2,0.0,0,1,118.8,0,130,1,0,0,0
2015,2,0.0,0,1,78.0,1,1,0,0,2,0
2017,2,0.0,0,1,93.42,0,101,0,0,2,0
2016,2,0.0,0,2,130.22,0,12,1,0,1,0
2017,2,0.0,0,0,72.0,0,119,1,0,0,0
2016,2,2.0,0,2,180.9,0,58,0,0,1,0
2017,2,0.0,0,1,112.0,0,38,0,0,0,0
2017,2,0.0,0,2,125.1,0,229,0,0,0,0
2016,2,0.0,0,1,201.0,1,18,0,0,0,0
2017,2,0.0,0,0,128.0,0,2,0,0,0,0
2016,2,0.0,0,0,53.2,1,12,0,0,0,0
2015,1,0.0,0,0,91.0,0,2,0,0,0,0
2017,2,0.0,0,0,70.0,1,61,1,0,0,0
2016,2,0.0,0,0,126.9,0,50,1,0,0,0
2017,2,0.0,0,0,67.76,0,17,0,0,0,0
2017,1,0.0,0,2,98.1,0,173,0,0,0,0
2016,2,0.0,0,1,120.8,1,254,0,0,0,0
2016,2,0.0,0,2,62.0,1,8,0,0,0,1
2016,2,0.0,0,0,85.5,1,273,1,0,0,0
2015,2,0.0,0,1,104.55,1,127,0,0,0,0
2017,3,0.0,0,1,92.4,1,345,0,0,0,0
2017,2,1.0,0,2,125.1,0,219,0,0,0,0
2017,2,0.0,0,0,72.2,1,337,0,0,0,0
2016,0,0.0,0,0,0.0,0,107,0,0,3,0
2016,2,0.0,0,1,123.3,0,157,0,0,2,1
2016,1,0.0,0,0,102.7,0,2,0,0,1,0
2016,2,0.0,0,1,126.0,1,221,1,0,1,0
2017,1,1.0,0,1,174.0,0,170,0,0,0,0
2016,2,0.0,0,0,104.0,0,6,0,0,0,0
2015,2,0.0,0,1,125.0,1,3,0,0,0,0
2016,1,0.0,0,2,100.2,1,35,1,0,3,0
2016,2,0.0,0,0,94.95,0,278,0,0,0,0
2016,2,2.0,0,0,54.0,1,3,0,0,1,0
2017,2,0.0,0,1,120.67,1,22,0,0,0,1
2016,1,0.0,0,0,76.0,0,116,0,0,1,0
2017,1,0.0,0,0,45.9,0,2,1,0,0,0
2016,2,1.0,0,0,109.8,0,58,1,0,0,0
2017,1,0.0,0,0,47.0,1,23,0,0,0,0
2016,2,0.0,0,1,63.49,0,89,0,0,0,0
2016,2,0.0,0,0,85.0,0,12,1,0,0,0
2017,2,0.0,0,0,40.0,1,73,1,0,0,0
2017,2,0.0,0,1,82.0,1,93,1,0,0,0
2016,2,0.0,0,0,95.2,0,155,1,0,0,0
2016,1,0.0,0,0,80.0,0,218,0,0,1,0
2016,2,0.0,0,2,74.8,0,55,0,0,0,0
2017,2,0.0,0,0,134.85,1,108,0,0,0,0
2017,2,0.0,0,1,51.5,0,1,0,0,0,1
2016,1,0.0,0,1,59.9,1,1,0,0,0,1
2017,2,0.0,0,1,126.8,0,52,1,0,0,0
2016,2,0.0,0,1,126.9,0,80,0,0,2,0
2016,2,0.0,0,2,117.26,0,3,0,0,1,0
2015,2,0.0,0,0,70.0,0,0,0,0,0,0
2017,2,0.0,0,0,72.0,1,98,0,0,0,0
2016,3,0.0,0,0,159.3,0,34,1,0,0,0
2017,0,2.0,0,0,96.25,0,308,1,0,0,0
2015,2,0.0,0,2,68.4,1,63,1,0,0,0
2016,3,0.0,0,0,128.52,0,1,1,0,0,0
2016,2,0.0,0,0,254.1,1,7,0,0,0,1
2015,2,0.0,0,1,105.0,0,15,0,0,0,1
2016,1,0.0,0,0,129.7,0,39,1,0,0,0
2017,2,0.0,0,1,131.6,0,42,1,0,0,0
2015,1,0.0,0,0,0.0,0,36,0,0,0,0
2015,1,0.0,0,0,139.0,0,3,0,0,0,0
2016,2,0.0,0,1,50.66,1,55,0,0,0,1
2017,2,0.0,0,0,104.4,0,154,0,0,0,0
2016,2,0.0,0,0,81.0,0,1,0,0,0,0
2017,2,0.0,0,0,130.5,0,153,0,0,0,0
2016,2,0.0,0,0,73.95,0,90,1,0,0,0
2016,1,0.0,0,0,119.0,1,59,0,0,2,0
2015,2,0.0,0,1,143.4,1,18,0,0,0,0
2017,2,0.0,0,0,129.78,0,189,0,0,0,0
2017,1,0.0,0,0,95.0,0,12,0,0,0,0
2016,2,0.0,0,2,261.0,1,56,0,0,1,0
2016,2,0.0,0,2,249.0,1,129,0,0,0,1
2015,2,0.0,0,1,78.5,1,44,0,0,0,0
2015,2,0.0,0,1,85.5,0,116,0,0,0,0
2016,2,0.0,0,0,125.0,0,180,1,1,0,0
2016,1,0.0,0,0,62.0,0,4,1,0,0,0
2017,1,0.0,0,0,55.0,1,11,0,0,0,1
2017,2,0.0,0,1,79.2,0,101,0,0,0,0
2016,1,0.0,0,0,36.4,1,3,0,0,1,0
2017,2,0.0,0,0,95.0,0,75,0,0,1,0
2017,1,0.0,0,1,150.0,0,22,0,0,0,0
2015,2,0.0,0,0,60.0,0,63,0,0,0,0
2016,2,0.0,0,0,75.99,0,16,1,0,0,0
2016,1,0.0,0,3,25.64,1,101,0,0,0,0
2016,1,0.0,0,0,118.65,0,213,0,0,0,1
2016,2,0.0,0,0,204.6,1,5,0,0,1,1
2017,2,0.0,0,2,74.8,0,93,0,0,0,0
2016,3,0.0,0,0,182.2,1,156,1,0,2,0
2015,2,0.0,0,0,49.4,1,5,0,0,0,0
2016,1,0.0,0,1,85.0,0,6,0,0,0,1
2016,2,0.0,0,0,87.04,0,31,0,0,0,0
2017,2,0.0,0,1,159.0,0,33,0,0,0,0
2015,2,0.0,0,0,75.0,0,12,0,0,0,0
2016,1,0.0,1,2,56.0,1,27,0,0,0,0
2017,2,0.0,0,1,69.02,0,39,1,0,0,0
2015,2,1.0,0,2,190.78,0,70,0,0,0,0
2017,2,0.0,0,1,128.0,0,20,1,0,0,0
2017,2,0.0,0,1,74.84,0,50,0,0,0,0
2017,2,0.0,0,2,79.2,0,189,0,0,0,0
2017,2,0.0,0,0,75.0,1,0,0,0,0,1
2016,2,2.0,0,1,332.57,0,28,0,0,0,0
2017,2,0.0,0,1,74.8,0,271,0,0,0,0
2017,3,0.0,0,2,225.43,0,63,0,0,0,0
2015,2,2.0,0,2,139.5,0,54,0,0,0,0
2017,2,0.0,0,3,259.0,0,15,0,0,0,0
2017,2,0.0,0,1,99.0,0,115,1,0,0,0
2016,1,0.0,0,0,98.1,0,183,1,0,0,0
2015,2,0.0,0,0,105.0,0,21,0,0,2,0
2016,2,0.0,0,2,109.83,0,101,0,0,3,0
2016,2,2.0,0,1,158.95,0,214,0,0,2,0
2017,2,0.0,0,0,108.0,0,25,1,0,2,0
2016,2,0.0,0,0,36.12,1,4,0,0,0,0
2017,2,0.0,0,0,89.1,0,183,1,0,0,0
2016,2,0.0,0,0,139.5,0,126,1,0,0,0
2015,1,0.0,0,1,40.0,1,0,0,0,0,1
2015,2,0.0,0,0,99.0,1,130,0,0,0,1
2015,2,0.0,0,0,50.0,1,77,0,0,0,0
2016,2,2.0,0,0,130.0,1,37,0,0,0,0
2016,2,0.0,0,2,149.4,0,109,0,0,0,0
2017,2,1.0,0,0,114.48,0,143,0,0,0,0
2016,2,0.0,0,0,58.0,1,0,0,0,0,0
2017,1,0.0,0,0,62.0,1,134,0,0,1,0
2016,1,0.0,0,0,160.0,1,0,0,0,0,0
2016,1,0.0,0,1,99.0,0,1,0,0,0,0
2015,2,1.0,0,1,0.0,0,0,0,0,0,0
2016,2,0.0,0,0,196.71,1,109,1,0,2,0
2016,2,0.0,0,1,166.0,1,165,0,0,0,1
2015,2,0.0,0,1,74.14,1,19,0,0,0,0
2017,2,0.0,0,0,105.47,1,269,1,0,1,0
2016,1,0.0,0,1,176.33,0,17,0,0,0,0
2016,2,0.0,0,0,118.5,1,0,0,0,0,1
2015,2,0.0,0,0,152.0,1,30,1,0,0,0
2017,2,0.0,0,0,89.0,0,12,0,0,0,0
2015,2,0.0,0,1,81.0,1,2,0,0,0,1
2016,2,0.0,0,0,154.0,0,25,0,0,0,0
2015,2,0.0,0,1,48.88,1,222,0,0,0,0
2017,1,0.0,0,0,47.0,1,238,1,0,0,0
2015,2,1.0,0,2,76.08,0,92,0,0,0,0
2016,1,0.0,0,0,90.0,0,0,0,0,0,0
2015,1,0.0,0,3,128.0,0,4,0,0,0,0
2015,2,0.0,0,0,25.0,1,1,0,0,0,1
2016,2,0.0,0,1,69.68,1,20,0,0,0,1
2015,2,1.0,0,1,147.09,1,47,0,0,0,0
2016,2,0.0,0,1,158.0,0,0,0,0,0,0
2015,2,0.0,0,0,57.0,1,8,0,0,0,0
2016,2,1.0,0,1,104.4,0,130,0,0,2,0
2016,3,0.0,0,1,165.0,0,7,0,0,1,0
2016,2,0.0,0,0,185.0,1,185,1,0,0,0
2016,2,0.0,0,0,90.0,1,218,0,0,0,0
2016,3,0.0,0,3,186.2,0,29,0,0,1,0
2015,2,2.0,0,1,183.67,0,29,0,0,0,0
2015,1,0.0,0,0,70.0,0,98,0,0,0,0
2015,2,0.0,0,0,62.0,0,75,0,0,0,0
2016,2,0.0,0,0,73.8,1,12,1,0,0,0
2016,0,1.0,0,1,73.74,0,109,0,0,1,0
2016,2,0.0,0,1,65.06,0,30,0,0,0,0
2016,1,0.0,0,1,125.1,0,76,0,0,0,0
2016,2,0.0,0,1,119.0,0,6,0,0,0,0
2017,2,0.0,0,0,48.0,1,9,1,0,0,0
2016,2,0.0,0,2,103.5,0,0,0,0,0,0
2017,3,0.0,0,0,139.68,1,180,1,0,0,0
2016,2,0.0,1,0,85.0,1,0,0,0,0,0
2016,2,0.0,0,0,149.4,0,55,1,0,0,0
2015,2,0.0,0,2,71.55,1,199,0,0,0,0
2017,1,0.0,0,1,172.8,1,55,1,0,0,0
2016,2,0.0,0,1,79.2,0,57,1,0,0,0
2016,1,0.0,0,0,80.75,0,249,1,0,0,0
2015,2,0.0,0,2,117.9,1,47,1,0,0,0
2016,1,0.0,0,0,106.65,0,0,0,0,1,0
2016,2,0.0,0,0,49.74,1,29,0,0,0,1
2016,2,0.0,0,1,72.25,0,71,0,0,0,0
2015,2,0.0,0,1,111.33,0,14,0,0,0,0
2017,3,0.0,0,0,127.93,0,42,1,0,0,0
2016,2,0.0,0,2,119.85,0,105,0,0,0,0
2017,2,0.0,0,2,152.0,1,17,0,0,0,0
2016,2,0.0,1,4,147.0,1,157,0,1,2,1
2016,1,0.0,0,0,71.11,1,31,0,0,0,0
2016,1,0.0,0,0,40.8,1,8,0,0,0,0
2016,2,0.0,0,1,91.0,0,1,0,0,0,0
2017,2,0.0,0,0,127.45,0,95,0,0,0,0
2017,3,0.0,0,0,150.0,0,16,0,0,0,0
2017,3,0.0,0,1,123.97,1,153,1,0,0,0
2015,2,0.0,0,1,62.0,0,79,0,0,0,0
2017,2,0.0,0,1,117.0,0,174,0,0,2,0
2016,2,0.0,0,0,62.0,0,461,1,0,0,0
2016,1,0.0,0,0,244.43,0,40,1,0,0,0
2016,2,0.0,0,0,81.2,0,29,1,0,0,0
2016,1,0.0,0,0,90.0,0,320,0,0,1,0
2016,3,0.0,0,3,125.66,0,88,0,0,0,0
2017,2,0.0,0,1,89.75,0,1,0,0,1,0
2016,3,0.0,0,3,207.76,1,200,0,0,0,0
2017,2,0.0,0,1,137.71,0,138,0,0,0,0
2016,1,0.0,0,1,75.33,0,57,0,0,1,0
2016,1,0.0,0,0,54.5,1,213,1,0,1,0
2017,2,0.0,0,0,126.0,0,108,0,0,0,0
2017,2,0.0,0,0,44.0,1,1,0,0,0,0
2015,1,0.0,1,0,34.0,1,1,1,1,0,0
2016,2,0.0,0,2,89.0,0,13,0,0,0,0
2016,2,0.0,0,0,72.0,0,42,0,0,0,0
2017,2,0.0,1,2,60.0,1,14,0,0,0,0
2016,2,0.0,0,0,93.6,0,74,1,0,0,0
2016,2,0.0,0,1,193.0,1,141,1,0,0,0
2015,3,0.0,0,1,105.0,0,5,1,0,0,0
2017,2,0.0,0,1,150.2,0,2,0,0,2,0
2017,2,0.0,0,0,125.0,0,157,1,0,0,0
2017,2,0.0,0,0,104.85,1,229,0,0,0,0
2016,2,0.0,0,0,55.0,1,29,1,0,0,0
2015,2,0.0,0,2,99.0,0,43,0,0,0,0
2016,2,0.0,0,0,76.71,0,287,0,0,1,0
2016,2,0.0,0,1,114.3,0,62,1,0,2,0
2016,2,0.0,0,1,84.0,1,2,0,0,0,0
2015,2,0.0,0,1,83.8,1,84,0,0,0,0
2017,2,0.0,0,1,153.0,0,132,0,0,1,0
2017,1,0.0,0,1,110.0,0,11,0,0,0,0
2017,2,0.0,0,0,59.79,1,249,1,0,0,0
2017,2,0.0,0,2,132.3,0,99,1,0,0,0
2016,2,0.0,0,1,0.0,1,172,0,0,0,0
2016,1,0.0,0,0,53.1,1,243,0,0,0,0
2017,2,0.0,0,0,72.2,1,261,0,0,0,0
2017,2,0.0,0,0,79.64,0,123,0,0,0,0
2016,1,0.0,0,1,43.0,1,0,0,0,0,0
2017,2,0.0,0,2,115.0,1,89,1,0,0,0
2016,3,0.0,0,0,73.8,1,61,1,0,0,0
2017,1,0.0,0,0,95.0,0,3,0,0,0,0
2016,2,0.0,0,0,89.75,0,165,1,0,2,0
2016,2,0.0,0,1,103.95,0,64,0,0,0,0
2017,1,0.0,1,1,43.0,1,0,0,0,0,0
2016,2,0.0,0,0,108.0,1,308,0,0,1,0
2016,2,0.0,0,1,90.3,0,297,0,0,2,0
2016,2,0.0,0,0,116.1,0,118,1,0,0,0
2017,2,1.0,0,1,123.3,0,286,1,0,0,0
2015,2,0.0,0,2,165.75,1,29,0,0,0,0
2016,2,0.0,0,0,158.0,0,51,1,0,4,0
2017,3,0.0,0,1,18.0,0,266,0,0,1,0
2015,2,0.0,0,0,89.25,0,231,1,1,0,0
2016,2,0.0,0,0,99.7,0,0,0,0,3,0
2016,3,0.0,0,1,146.7,0,114,0,0,0,0
2016,3,0.0,0,2,126.3,0,40,0,0,0,0
2016,2,1.0,0,0,0.0,1,0,0,0,1,0
2015,2,0.0,0,0,54.0,1,2,0,0,0,1
2017,2,0.0,0,1,110.0,0,21,0,0,0,0
2017,2,0.0,0,0,140.0,0,50,1,0,0,0
2016,1,0.0,0,1,110.0,0,33,0,0,1,0
2016,2,0.0,0,0,93.93,1,231,0,0,0,0
2017,2,0.0,0,2,68.0,1,23,0,0,0,0
2017,3,0.0,0,1,180.0,0,257,1,0,0,0
2015,1,0.0,0,0,170.0,0,17,0,0,1,0
2016,1,0.0,1,0,39.0,1,29,0,0,0,0
2015,0,2.0,0,0,6.0,0,1,0,0,0,0
2016,2,0.0,0,2,91.5,0,4,0,0,0,0
2016,2,1.0,0,2,155.65,1,172,0,0,0,1
2015,2,0.0,0,0,177.0,1,64,0,0,0,0
2016,2,0.0,0,0,134.33,0,24,1,0,0,0
2017,1,0.0,0,0,42.0,1,0,0,0,0,1
2016,1,0.0,0,0,140.4,0,52,0,0,0,0
2016,1,0.0,0,0,120.0,0,56,0,0,0,0
2017,2,0.0,0,1,48.0,1,24,0,0,0,0
2017,2,0.0,0,0,107.1,0,193,0,0,0,0
2016,3,0.0,0,2,115.85,0,113,0,0,0,0
2017,2,0.0,0,1,117.0,0,33,1,0,0,0
2017,2,0.0,0,1,87.0,1,339,1,0,0,0
2016,1,0.0,0,1,55.0,1,24,0,0,0,0
2017,2,0.0,0,0,41.65,1,6,0,0,0,0
2016,2,0.0,0,0,148.0,0,0,0,0,0,0
2017,2,0.0,0,0,100.0,0,172,1,0,0,0
2016,2,0.0,0,1,120.15,0,96,0,0,0,0
2017,2,0.0,0,0,110.7,1,342,0,0,0,0
2016,1,0.0,0,0,96.0,1,9,0,0,0,0
2015,1,0.0,0,0,76.67,0,219,0,0,0,0
2015,2,0.0,0,0,58.3,0,58,0,0,0,0
2015,2,0.0,0,0,115.0,0,2,0,0,0,0
2016,2,0.0,0,0,85.0,1,5,0,0,0,0
2017,2,1.0,0,0,211.3,1,8,1,0,0,0
2016,1,0.0,0,0,110.0,0,13,1,0,1,0
2016,1,0.0,0,2,87.48,0,70,0,0,0,0
2016,2,0.0,0,2,261.0,0,6,0,0,0,0
2017,2,0.0,0,0,180.0,0,30,0,0,0,0
2017,2,0.0,0,0,89.1,0,49,1,0,0,0
2016,2,2.0,0,2,90.17,1,62,1,0,1,0
2016,3,0.0,0,0,92.65,0,92,0,0,0,0
2016,1,0.0,1,0,65.0,0,0,0,0,0,0
2016,2,0.0,0,1,104.0,0,33,1,0,0,0
2016,2,2.0,0,1,231.0,0,4,0,0,0,0
2017,1,0.0,0,2,43.0,1,15,0,0,0,0
2015,2,0.0,0,0,136.5,1,165,0,0,0,0
2015,2,0.0,0,0,89.2,1,265,1,14,0,0
2017,2,0.0,0,0,98.4,1,157,0,0,0,0
